Company Name,Rating,Review Count,Category,Address,Website,Search Term
Neptune Wholesale and Liquidations,4.6,10,Furniture store,1500 Industrial Blvd #2,http://neptuneliquidations.com/,"Jacksonville, FL Wholesaler"
The Fishermans Dock Wholesale,4.6,10,Seafood wholesaler,1500 Industrial Blvd #2,https://thefishermansdock.com/,"Jacksonville, FL Wholesaler"
Office Creations Jacksonville,4.6,10,Office accessories wholesaler,100-170 W Bay St,http://www.officecreations.net/,"Jacksonville, FL Wholesaler"
Sam's Club,4.3,"1,661",Warehouse club,10690 Beach Blvd,https://www.samsclub.com/club/jacksonville-fl-sams-club/8116,"Jacksonville, FL Wholesaler"
Sport Jax,3.0,2,T-shirt company,10690 Beach Blvd,,"Jacksonville, FL Wholesaler"
Steak & Stuff,1.0,5,Meat wholesaler,1433 Romney St # 3,,"Jacksonville, FL Wholesaler"
Izzy’s Wholesale Store,1.0,5,Clothing store,1433 Romney St # 3,,"Jacksonville, FL Wholesaler"
Wholesale Tile Supply in Jacksonville - Direct Importer ~ OPEN TO THE PUBLIC ~ MORE THAN JUST TILE!,4.6,93,Tile store,9450 Philips Hwy,http://www.wholesaletilesupply.com/,"Jacksonville, FL Wholesaler"
Architectural Sales & Ilmntn,4.6,93,Lighting wholesaler,1815 University Blvd N,http://www.asilighting.com/,"Jacksonville, FL Wholesaler"
The Home Depot Pro Institutional,4.6,93,Wholesaler,1815 University Blvd N,http://supplyworks.com/,"Jacksonville, FL Wholesaler"
BJ’s Wholesale Club Distribution Center,3.2,595,Warehouse club,4500 Director Rd,http://www.bjs.com/,"Jacksonville, FL Wholesaler"
Azar & Co,4.8,39,Meat wholesaler,719 E Union St,http://www.azarsausage.com/,"Jacksonville, FL Wholesaler"
Wholesale Direct JAX,4.0,2,Used car dealer,2059 Mayport Rd,,"Jacksonville, FL Wholesaler"
Quality meats seafood and more,5.0,1,Meat wholesaler,2059 Mayport Rd,,"Jacksonville, FL Wholesaler"
C W Wholesalers,4.9,14,Ice Cream,2730 Gilmore St,,"Jacksonville, FL Wholesaler"
Sweet Christi’s,5.0,2,Beauty products wholesaler,121 E 8th St Suite 12,https://sweetchristis.com/,"Jacksonville, FL Wholesaler"
Southern Wine & Spirits Jacksonville Fl,4.6,14,Beverage distributor,6867 Stuart Ln S,https://www.southernglazers.com/,"Jacksonville, FL Wholesaler"
Southern Wine & Spirits Jacksonville Fl,4.6,14,Beverage distributor,6867 Stuart Ln S,https://www.southernglazers.com/,"Jacksonville, FL Wholesaler"
K & O Auto Wholesale,4.4,519,Car dealer,8664 Philips Hwy,http://www.koautowholesale.com/default.aspx,"Jacksonville, FL Wholesaler"
Beaver Street Fisheries,4.4,49,Seafood wholesaler,1741 W Beaver St,http://www.beaverstreetfisheries.com/,"Jacksonville, FL Wholesaler"
Costco Wholesale,4.5,"4,473",Warehouse store,4901 Gate Pkwy,http://www.costco.com/warehouse-locations/jacksonville-FL-357.html?utm_term=KW&utm_campaign=Homepage&utm_medium=GMB&utm_source=Google&utm_content=Link,"Jacksonville, FL Wholesaler"
Camp Craft Cocktails,3.7,7,Alcoholic beverage wholesaler,4901 Gate Pkwy,https://campcraftcocktails.com/,"Jacksonville, FL Wholesaler"
ProSource Wholesale Flooring,4.4,25,Flooring store,4949 Sunbeam Rd,https://www.prosourcewholesale.com/,"Jacksonville, FL Wholesaler"
Wholesale Realty,5.0,29,Real estate agency,1514 Felch Ave,http://www.wholesalejax.com/,"Jacksonville, FL Wholesaler"
Alley's Auto Wholesale,4.3,6,Used car dealer,8919 Philips Hwy,http://alleys-auto-wholesale.gaaq.net/,"Jacksonville, FL Wholesaler"
Duval Auto Wholesale,4.6,43,Used car dealer,8422 Atlantic Blvd,https://duvalautowholesale.com/,"Jacksonville, FL Wholesaler"
Port Consolidated,4.6,43,Oil wholesaler,1510 Talleyrand Ave,http://portconsolidated.com/,"Jacksonville, FL Wholesaler"
C & S Wholesale Grocers,2.7,555,Distribution service,15500 W Beaver St,http://www.cswg.com/,"Jacksonville, FL Wholesaler"
John Edwards Spices,5.0,4,Seafood wholesaler,8538 Mallory Rd #2,,"Jacksonville, FL Wholesaler"
Rivervalley Paper Co,5.0,1,Paper mill,1200A Talleyrand Ave,https://www.rivervalleypaper.com/,"Jacksonville, FL Wholesaler"
The Sprinkle Ladies' Sweet Shoppe,5.0,1,Wholesale bakery,1200A Talleyrand Ave,http://thesprinkleladies.com/,"Jacksonville, FL Wholesaler"
Wholesale360,5.0,6,Car dealer,5321 Fairmont St,https://wholesale360.co/about/,"Jacksonville, FL Wholesaler"
"Turnovers, Inc.",4.0,4,Clothing store,1144 Edgewood Ave S,http://turnoversinc.com/,"Jacksonville, FL Wholesaler"
Wholesale Property Depot,4.0,4,Real estate agency,1080 Edgewood Ave S,https://www.wholesalepropertydepot.com/,"Jacksonville, FL Wholesaler"
Jax Auto Wholesale,4.4,155,Used car dealer,8190 103rd St,https://www.jaxautowholesale.com/index.shtml,"Jacksonville, FL Wholesaler"
Izzy’s Fashion Wholesale,5.0,1,Women's clothing store,8190 103rd St,,"Jacksonville, FL Wholesaler"
